,START DATE(UTC),DURATION,DAY OF THE WEEK
328,2018-11-05,2.7530555555555556,Saturday
329,2018-11-06,37.83833333333333,Sunday
330,2018-11-07,15.588055555555556,Monday
331,2018-11-08,2.751388888888889,Tuesday
332,2018-11-09,13.495833333333334,Wednesday
333,2018-11-10,14.746944444444445,Thursday
334,2018-11-11,58.22138888888889,Friday
335,2018-11-13,15.085,Saturday
336,2018-11-14,15.660833333333333,Sunday
337,2018-11-15,15.659722222222221,Monday
338,2018-11-16,2.4066666666666667,Tuesday
339,2018-11-17,17.891111111111112,Wednesday
340,2018-11-18,17.843055555555555,Thursday
341,2018-11-19,24.75138888888889,Friday
342,2018-11-20,19.639444444444443,Saturday
343,2018-11-21,17.641111111111112,Sunday
344,2018-11-25,37.06333333333333,Monday
345,2018-11-26,15.563888888888888,Tuesday
346,2018-11-27,4.592222222222222,Wednesday
347,2018-11-28,27.143055555555556,Thursday
348,2018-11-29,15.631388888888889,Friday
349,2018-11-30,2.735,Saturday
350,2018-12-01,20.055,Sunday
351,2018-12-02,33.86972222222222,Monday
352,2018-12-03,15.6875,Tuesday
353,2018-12-04,1.3744444444444444,Wednesday
354,2018-12-05,16.22,Thursday
355,2018-12-06,14.532222222222222,Friday
356,2018-12-07,15.262777777777778,Saturday
357,2018-12-08,19.689444444444444,Sunday
358,2018-12-09,31.274166666666666,Monday
359,2018-12-10,3.0355555555555553,Tuesday
360,2018-12-11,14.876944444444446,Wednesday
361,2018-12-12,10.412222222222223,Thursday
362,2018-12-13,29.704722222222223,Friday
363,2018-12-14,2.3408333333333333,Saturday
364,2018-12-15,58.03333333333333,Sunday
365,2018-12-17,6.820833333333333,Monday
366,2018-12-18,28.801666666666666,Tuesday
367,2018-12-19,5.374444444444444,Wednesday
368,2018-12-20,60.731111111111105,Thursday
369,2018-12-22,2.051388888888889,Friday
370,2018-12-29,40.89055555555556,Saturday
371,2018-12-30,24.280277777777776,Sunday
372,2018-12-31,5.284722222222222,Monday
373,2019-01-01,38.016666666666666,Tuesday
374,2019-01-03,48.10527777777778,Wednesday
375,2019-01-05,19.871388888888887,Thursday
376,2019-01-06,20.741666666666667,Friday
377,2019-01-07,32.9975,Saturday
378,2019-01-08,16.628055555555555,Sunday
379,2019-01-09,2.8297222222222222,Monday
380,2019-01-10,28.38722222222222,Tuesday
381,2019-01-11,1.9858333333333333,Wednesday
382,2019-01-12,11.157222222222222,Thursday
383,2019-01-13,35.95111111111111,Friday
384,2019-01-14,2.462222222222222,Saturday
385,2019-01-15,29.384999999999998,Sunday
386,2019-01-16,1.0397222222222222,Monday
387,2019-01-17,28.53944444444444,Tuesday
388,2019-01-18,2.011111111111111,Wednesday
389,2019-01-19,18.18638888888889,Thursday
390,2019-01-20,20.567777777777778,Friday
391,2019-01-21,56.88694444444444,Saturday
392,2019-01-23,11.613611111111112,Sunday
393,2019-01-28,19.302500000000002,Monday
394,2019-01-29,11.882777777777777,Tuesday
395,2019-01-30,19.479444444444447,Wednesday
396,2019-01-31,3.3597222222222225,Thursday
397,2019-02-01,42.349722222222226,Friday
398,2019-02-03,33.856944444444444,Saturday
399,2019-02-04,15.636111111111111,Sunday
400,2019-02-05,16.645833333333332,Monday
401,2019-02-06,17.694444444444443,Tuesday
402,2019-02-07,15.794166666666667,Wednesday
403,2019-02-08,1.5697222222222222,Thursday
404,2019-02-10,5.047777777777778,Friday
405,2019-02-11,27.4425,Saturday
406,2019-02-12,16.38722222222222,Sunday
407,2019-02-13,15.700555555555555,Monday
408,2019-02-14,15.6125,Tuesday
409,2019-02-15,2.702777777777778,Wednesday
410,2019-02-16,18.147777777777776,Thursday
411,2019-02-17,17.113888888888887,Friday
412,2019-02-18,39.234722222222224,Saturday
413,2019-02-19,2.2069444444444444,Sunday
414,2019-02-20,27.946944444444448,Monday
415,2019-02-22,16.933333333333334,Tuesday
416,2019-02-23,16.47861111111111,Wednesday
417,2019-02-24,13.759166666666667,Thursday
418,2019-02-25,2.0675,Friday
419,2019-02-26,13.33388888888889,Saturday
420,2019-02-27,14.424444444444445,Sunday
421,2019-02-28,13.258055555555556,Monday
422,2019-03-01,13.27,Tuesday
423,2019-03-02,35.397777777777776,Wednesday
424,2019-03-03,19.683611111111112,Thursday
425,2019-03-04,21.482777777777777,Friday
426,2019-03-06,14.1475,Saturday
427,2019-03-07,13.3925,Sunday
428,2019-03-08,13.272222222222222,Monday
429,2019-03-09,49.68972222222222,Tuesday
430,2019-03-11,13.376944444444444,Wednesday
431,2019-03-13,40.22222222222222,Thursday
432,2019-03-14,5.271388888888889,Friday
433,2019-03-15,14.630277777777778,Saturday
434,2019-03-16,47.95583333333334,Sunday
435,2019-03-18,13.364722222222222,Monday
436,2019-03-20,26.253888888888888,Tuesday
437,2019-03-21,13.342777777777778,Wednesday
438,2019-03-22,0.7227777777777777,Thursday
439,2019-03-23,32.41777777777778,Friday
440,2019-03-24,22.48361111111111,Saturday
441,2019-03-25,21.114722222222223,Sunday
442,2019-03-26,20.934444444444445,Monday
443,2019-03-27,19.269166666666667,Tuesday
444,2019-03-29,17.616944444444446,Wednesday
445,2019-03-30,17.94361111111111,Thursday
446,2019-03-31,32.33138888888889,Friday
447,2019-04-01,12.973055555555556,Saturday
448,2019-04-03,26.53194444444444,Sunday
449,2019-04-04,13.109166666666667,Monday
450,2019-04-05,0.4697222222222222,Tuesday
451,2019-04-06,8.8475,Wednesday
452,2019-04-07,33.24611111111111,Thursday
453,2019-04-08,13.227777777777778,Friday
454,2019-04-09,1.4355555555555555,Saturday
455,2019-04-10,28.338055555555556,Sunday
456,2019-04-11,13.817777777777778,Monday
457,2019-04-12,2.4916666666666667,Tuesday
458,2019-04-13,10.815,Wednesday
459,2019-04-14,22.622777777777777,Thursday
460,2019-04-15,24.97972222222222,Friday
461,2019-04-16,14.155833333333334,Saturday
462,2019-04-18,16.351666666666667,Sunday
463,2019-04-19,22.08416666666667,Monday
464,2019-04-20,31.996111111111112,Tuesday
465,2019-04-21,1.4075,Wednesday
466,2019-04-22,36.820277777777775,Thursday
467,2019-04-24,27.1175,Friday
468,2019-04-26,11.213055555555556,Saturday
469,2019-04-27,28.999444444444446,Sunday
470,2019-04-28,15.014444444444445,Monday
471,2019-04-29,35.85638888888889,Tuesday
472,2019-04-30,15.466388888888888,Wednesday
473,2019-05-02,26.198888888888888,Thursday
474,2019-05-03,1.7502777777777778,Friday
475,2019-05-04,33.38638888888889,Saturday
476,2019-05-06,25.76972222222222,Sunday
477,2019-05-07,13.143888888888888,Monday
478,2019-05-08,14.415,Tuesday
479,2019-05-09,13.873333333333333,Wednesday
480,2019-05-11,27.625,Thursday
481,2019-05-12,23.11277777777778,Friday
482,2019-05-13,15.45888888888889,Saturday
483,2019-05-14,1.46,Sunday
484,2019-05-15,26.141666666666666,Monday
485,2019-05-16,2.4366666666666665,Tuesday
486,2019-05-17,33.83277777777778,Wednesday
487,2019-05-18,3.923888888888889,Thursday
488,2019-05-19,21.00722222222222,Friday
489,2019-05-20,21.40361111111111,Saturday
490,2019-05-21,30.9625,Sunday
491,2019-05-22,17.0825,Monday
492,2019-05-23,5.2075,Tuesday
493,2019-05-24,19.471666666666668,Wednesday
